#{"t_start": 1751064068.588806, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
285.0,2277,573.709324
120.0,1913,581.184407
25.0,1887,587.225691
450.0,2541,595.589405
180.0,2449,603.375464
75.0,1847,609.297106
30.0,1139,612.911303
155.0,2279,621.847909
110.0,1671,628.118861
90.0,1649,633.962848
50.0,1887,640.375017
105.0,1187,644.885301
85.0,2091,653.539856
155.0,2111,660.676294
30.0,1833,668.06728
165.0,2049,675.243029
150.0,2405,683.189629
155.0,1989,690.147517
160.0,2173,698.436592
235.0,2679,708.155416
65.0,1175,712.769959
120.0,2303,721.080076
100.0,1445,725.864717
130.0,2385,733.848223
120.0,1749,740.312578
115.0,2487,749.202225
230.0,2487,757.26379
110.0,1889,764.785032
430.0,2689,774.388682
225.0,2439,783.075636
55.0,1393,787.653584
105.0,1779,794.58406
135.0,2305,802.83488
400.0,4321,820.32709
125.0,2187,827.550328
110.0,1343,832.515338
35.0,1017,835.778213
400.0,2247,843.046717
255.0,3081,853.916424
185.0,2789,863.408895
210.0,2427,871.561451
405.0,3959,884.960398
140.0,1943,891.83541
145.0,2043,899.082326
135.0,1851,905.921612
30.0,1805,912.004149
425.0,2561,921.152315
515.0,3961,934.800382
210.0,1843,941.815125
260.0,2697,951.390771
135.0,2101,958.339757
260.0,2277,966.320605
330.0,2129,973.20341
385.0,2865,982.911279
200.0,2197,990.481209
155.0,2593,1000.509164
80.0,1185,1004.974986
110.0,2011,1011.926288
145.0,2105,1019.188806
185.0,2383,1026.949764
210.0,2487,1036.578414
130.0,2219,1044.189996
300.0,3005,1054.533222
50.0,1239,1058.492988
85.0,2383,1066.850059
80.0,1529,1072.361504
105.0,1979,1078.925131
210.0,2487,1087.158846
120.0,1893,1093.597996
155.0,2885,1103.584371
105.0,1893,1110.034523
120.0,2229,1118.817379
35.0,1485,1125.175489
120.0,1479,1130.605834
145.0,2215,1138.365528
60.0,1161,1142.493197
65.0,1205,1146.762135
110.0,1529,1152.087807
135.0,2867,1161.599393
155.0,2383,1169.515157
180.0,2345,1179.884567
100.0,1385,1184.594845
50.0,1561,1189.918108
105.0,1155,1194.347098
