#{"t_start": 1750638857.094023, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
320.0,3008,3.632146
140.0,2525,4.104671
210.0,2423,4.545204
70.0,2401,4.986368
315.0,2825,5.507167
60.0,1575,5.795911
50.0,1241,6.019948
75.0,2513,6.476868
95.0,1247,6.702945
185.0,2679,7.227297
90.0,1549,7.515261
50.0,1111,7.718806
30.0,1797,8.043334
10.0,1271,8.266602
75.0,1347,8.505692
155.0,2217,8.895263
410.0,2383,9.334077
160.0,1825,9.676502
5.0,1387,9.933883
80.0,1865,10.28642
125.0,2339,10.71202
105.0,2013,11.076691
135.0,2273,11.488952
65.0,1629,11.784541
110.0,2033,12.189199
65.0,1619,12.488118
155.0,2229,12.889726
45.0,1051,13.081458
610.0,4075,13.779329
195.0,2681,14.261613
180.0,2043,14.633076
155.0,2063,15.011884
105.0,1589,15.34612
135.0,2039,15.739465
130.0,1557,16.053692
185.0,2457,16.511083
80.0,1555,16.809634
35.0,1451,17.095895
80.0,1889,17.479537
105.0,1923,17.835994
55.0,1169,18.050353
225.0,3809,18.726944
150.0,2453,19.187838
80.0,1729,19.504138
210.0,2757,20.052544
460.0,4142,20.820978
180.0,3215,21.434388
125.0,1637,21.741548
120.0,2063,24.165776
80.0,1189,24.405383
130.0,2687,24.924713
55.0,1287,25.242849
210.0,2405,25.724229
185.0,2417,26.183466
105.0,1819,26.537194
215.0,2635,27.213698
255.0,3071,27.79489
65.0,1805,28.165203
45.0,1217,28.383891
230.0,2891,28.906695
45.0,1225,29.139353
105.0,1837,29.496759
225.0,3081,30.096574
105.0,1515,30.389388
95.0,1317,30.662961
160.0,1873,31.043559
225.0,2811,31.555343
140.0,2375,31.997097
50.0,1589,32.297057
110.0,1909,32.694098
375.0,2539,33.162717
110.0,1863,33.497744
120.0,2081,33.920419
55.0,1611,34.234266
155.0,1929,34.618827
155.0,1805,34.988463
210.0,2003,35.388063
110.0,1925,35.755251
105.0,1875,36.114013
460.0,4181,36.883834
110.0,1843,37.23777
410.0,2631,37.731727
260.0,2513,38.180581
120.0,2047,38.552982
45.0,1145,38.757819
115.0,2627,39.29539
40.0,1583,39.593032
65.0,1537,39.933677
70.0,1893,40.318999
470.0,3061,40.914614
95.0,1283,41.154383
355.0,2333,41.589162
90.0,1239,41.821748
210.0,3379,42.460259
65.0,1053,42.654454
75.0,1657,42.972917
45.0,1159,43.186831
65.0,1279,43.421808
145.0,2373,43.845706
65.0,1465,46.626836
50.0,1815,47.007738
60.0,1175,47.257066
410.0,2445,47.728313
285.0,3411,48.499636
120.0,1529,48.778856
240.0,2701,49.279774
210.0,2869,49.849695
240.0,2565,50.337316
155.0,1917,50.695746
105.0,1853,51.046649
110.0,2137,51.45921
155.0,2191,51.875173
365.0,2811,52.386986
180.0,2055,52.777022
240.0,2835,53.295426
225.0,2403,53.717586
110.0,1971,54.071611
135.0,2009,54.453472
210.0,2515,54.97725
110.0,2087,55.392345
355.0,2319,55.837025
155.0,1507,56.117517
270.0,2765,56.633039
30.0,1905,57.129678
180.0,2481,57.586456
125.0,1775,57.91242
90.0,1477,58.172007
120.0,1891,58.504397
35.0,1501,58.777107
165.0,2097,59.182854
150.0,1749,59.559952
180.0,2185,60.041611
70.0,1177,60.262724
65.0,1855,60.662161
155.0,1717,60.979701
135.0,2135,61.372384
415.0,3337,61.980796
150.0,2005,62.350425
120.0,1477,62.627057
230.0,2839,63.184451
55.0,1759,63.509883
135.0,1801,63.833228
80.0,1431,64.091612
135.0,2015,64.761649
155.0,2153,65.261448
100.0,1719,65.616459
80.0,1155,65.876436
105.0,1645,66.201133
185.0,2139,66.599113
130.0,1935,69.097897
340.0,3235,69.715581
75.0,1575,70.027814
135.0,1903,70.397025
225.0,2773,70.940845
135.0,1565,71.228409
210.0,2055,71.596901
170.0,2315,72.013985
110.0,1743,72.335511
35.0,1237,72.579404
45.0,1339,72.928005
155.0,2547,73.420699
15.0,1511,73.69043
105.0,1593,73.983207
220.0,2837,74.893175
290.0,2611,75.478751
210.0,2335,75.91314
215.0,2291,76.366421
30.0,1373,76.763895
85.0,2033,77.175217
230.0,2513,77.693299
260.0,2595,78.279685
210.0,2581,78.745913
120.0,1897,79.089281
55.0,1507,79.376391
295.0,3005,79.978007
130.0,2017,80.365904
140.0,2349,80.830396
45.0,1847,81.172218
260.0,3317,81.859228
185.0,2597,82.442615
40.0,1563,82.75177
120.0,1967,83.111925
60.0,1049,83.301183
210.0,1997,83.65548
125.0,1983,84.008647
60.0,1889,84.359153
20.0,1775,84.689244
140.0,2647,85.194959
110.0,1515,85.472173
185.0,2113,85.914475
255.0,3029,86.542719
155.0,2009,86.984719
210.0,2519,87.529335
50.0,1339,87.816581
210.0,2429,88.266546
55.0,1529,88.563072
225.0,1899,88.909176
20.0,1049,89.105165
105.0,2083,94.236716
135.0,1875,100.186168
165.0,2885,109.979583
230.0,3471,121.883851
210.0,2557,128.804507
120.0,1827,133.750751
75.0,1539,137.780507
135.0,1839,142.482666
295.0,3925,152.823088
155.0,1751,157.311079
180.0,1907,162.366522
425.0,3299,171.420695
130.0,2099,206.354056
40.0,1129,209.557673
135.0,1719,216.568214
195.0,2511,224.122419
120.0,1677,228.839399
135.0,2289,235.111348
110.0,2321,241.484311
125.0,1655,246.001098
230.0,3171,717.239383
110.0,1849,724.287523
180.0,2129,731.566977
80.0,1727,737.796153
180.0,2375,747.233744
155.0,2219,756.193331
80.0,1393,761.589571
260.0,2789,771.630087
130.0,1843,777.845779
275.0,3023,788.262377
65.0,1655,794.163045
130.0,1915,800.793097
155.0,2375,808.673439
370.0,3207,819.446226
180.0,2661,828.97236
170.0,1591,834.46948
155.0,2395,842.883989
285.0,2941,853.365506
90.0,1595,859.185873
180.0,1945,865.753504
135.0,1777,871.736509
70.0,1505,876.822118
155.0,2439,886.009686
30.0,1257,890.459978
210.0,1927,897.215284
105.0,1823,903.484986
115.0,2013,910.258197
160.0,1897,920.871073
215.0,2577,931.923139
20.0,1339,936.605357
80.0,1795,943.218168
35.0,1951,950.722663
105.0,1123,954.836103
105.0,1955,963.014416
80.0,1055,966.579578
100.0,1919,973.583337
160.0,2267,981.457022
135.0,2019,988.389578
65.0,1899,994.617058
90.0,2051,1001.757122
105.0,1919,1009.985875
235.0,2749,1020.322655
185.0,1997,1028.966325
175.0,1931,1036.339157
155.0,2009,1044.276635
105.0,1609,1049.8769
135.0,2235,1057.321486
65.0,1717,1063.276784
165.0,2479,1073.512486
105.0,2253,1081.271393
135.0,1177,1085.558359
110.0,2135,1094.471891
165.0,3575,1108.782296
180.0,1789,1114.796098
180.0,1903,1121.368177
95.0,1801,1127.59465
360.0,3091,1138.556603
80.0,1153,1142.297503
145.0,2049,1149.095513
125.0,1935,1155.709226
345.0,2715,1164.512307
20.0,1119,1168.159761
80.0,2027,1174.712491
60.0,1111,1178.358768
130.0,1841,1184.35079
105.0,1785,1190.287984
180.0,2097,1197.188905
140.0,1639,1202.466535
75.0,1533,1207.4343
65.0,1417,1212.098541
105.0,1863,1218.946969
115.0,2193,1226.183583
5.0,1743,1232.181154
210.0,2447,1240.515612
50.0,1929,1247.051289
80.0,1307,1251.324482
230.0,3143,1262.246571
135.0,2215,1269.700627
110.0,2181,1277.230992
65.0,1555,1282.442044
50.0,1771,1292.261719
185.0,1957,1298.633456
120.0,2101,1306.161002
315.0,3325,1319.771739
130.0,2047,1327.75365
115.0,1791,1334.431003
20.0,1407,1339.674697
110.0,2109,1347.955085
180.0,2107,1355.964303
60.0,1155,1359.833897
425.0,3765,1374.303071
170.0,2473,1383.444779
125.0,1667,1388.847504
110.0,1915,1395.200949
415.0,2845,1405.52128
110.0,1593,1411.412137
105.0,1977,1418.630654
545.0,3237,1430.231532
155.0,2379,1438.611535
210.0,2469,1447.140018
135.0,2227,1455.85366
155.0,1891,1462.914517
115.0,2303,1470.520559
240.0,2953,1480.542225
395.0,4049,1494.212075
210.0,2349,1503.335024
110.0,1885,1510.071251
